Topic,Count,Name,Representation,Representative_Docs
62,207,62_black_black lives_lives_police,"['black', 'black lives', 'lives', 'police', 'lives matter', 'black lives matter', 'matter', 'black people', 'the police', 'police brutality', 'brutality', 'the black', 'defund', 'black on black', 'black on']","['defend black lives\ndefund the police\nblack lives matter @ silver lake https://t.co/0rz3o5t2l4', 'what i don’t understand is why black lives matter wants to defund the police when the black on black murder rate has taken off like covid?', '....""©™✓not all black lives matter to black lives matter. black lives matter only when a police officer shoots a bl… https://t.co/yqei4k9q0c']"
63,201,63_blacklivesmatter_blacklivesmatter blacklivesmatter_blacklivesmatter this_yes,"['blacklivesmatter', 'blacklivesmatter blacklivesmatter', 'blacklivesmatter this', 'yes', 'blacklivesmatter yes', 'it blacklivesmatter', 'this blacklivesmatter', 'yes blacklivesmatter', 'that blacklivesmatter', 'blacklivesmatter this blacklivesmatter', 'yes blacklivesmatter blacklivesmatter', 'indeed blacklivesmatter', 'blacklivesmatter alllivesmater blacklivesmatter', 'amen blacklivesmatter', 'blacklivesmatter this is']","['❗️. blacklivesmatter', 'blacklivesmatter 💙💙💙', '😭 blacklivesmatter']"
64,199,64_blackouttuesday_california https_california https co_california,"['blackouttuesday', 'california https', 'california https co', 'california', 'angeles california', 'los angeles california', 'angeles california https', 'blacklivesmatter blackouttuesday', 'los angeles', 'angeles', 'los', 'blackouttuesday blacklivesmatter', 'blackouttuesday los', 'blackouttuesday los angeles', 'blackouttuesday blacklivesmatter los']","['blacklivesmatter blackouttuesday @ los angeles, california https://t.co/h0ek8qypqq', 'blacklivesmatter blackouttuesday @ los angeles, california https://t.co/14mizxtpxt', 'blacklivesmatter blackouttuesday @ los angeles, california https://t.co/gjwxc2sckw']"
65,197,65_border_border wall_wall_the border,"['border', 'border wall', 'wall', 'the border', 'the border wall', 'mexico', 'trump', 'trump border', 'trump border wall', 'construction', 'wall is', 'border wall is', 'wall construction', 'border wall construction', 'wall https']","['supreme court denies request to halt construction of the border wall https://t.co/dx3m4xa4yy', '@sammyclaws12 border wall that is.', 'border wall - where ?']"
66,193,66_blacklivesmatter https co_blacklivesmatter https_blacklivesmatter_https co,"['blacklivesmatter https co', 'blacklivesmatter https', 'blacklivesmatter', 'https co', 'https', 'co', 'casi', 'and persian ready', 'ready and willing', 'blm juneteenth blacklivesmatter', 'black and persian', 'and persian', 'imablackman blm juneteenth', 'imablackman blm', 'and willing']","['“ cuando el rojo está casi negro y las rosas 🌹 están casi muertas ese es mi color favorito 🥀 “ blctku  edit… https://t.co/ia1extmh6t', 'black and persian \nready and willing \na m e r i c a n  man\n\nimablackman blm juneteenth blacklivesmatter… https://t.co/8xx7cmabnl', 'black and persian \nready and willing \na m e r i c a n  man\n\nimablackman blm juneteenth blacklivesmatter… https://t.co/fltibhf8py']"
67,189,67_asian_asian hate_stop asian_stop asian hate,"['asian', 'asian hate', 'stop asian', 'stop asian hate', 'stopasianhate', 'hate', 'asians', 'stop', 'asiansarehuman', 'asianlivesmatter', 'anti asian', 'stopasianhatecrimes', 'stopaapihate', 'asianlivesmatter asiansarehuman', 'stopasianhate https']","['stop asian hate', 'stop asian hate !!!!', 'stop asian hate']"
68,181,68_george floyd_floyd_george_about george,"['george floyd', 'floyd', 'george', 'about george', 'about george floyd', 'george floyd and', 'floyd and', 'to george floyd', 'to george', 'happened', 'george floyd was', 'floyd was', 'what happened', 'what happened to', 'happened to']","['@crtv_drctr the only reason we know what happened to george floyd (and countless others) — what really happened — i… https://t.co/1xtpuvnjvg', 'so wrong on so many levels. this won’t bring back george floyd so what’s the point of doing this shit? complete stu… https://t.co/gbjtpd69vu', 'so wrong on so many levels. this won’t bring back george floyd so what’s the point of doing this shit? complete stu… https://t.co/lktnhjo9zz']"
69,176,69_stopasianhate_stopasianhate https co_stopasianhate https_stopaapihate,"['stopasianhate', 'stopasianhate https co', 'stopasianhate https', 'stopaapihate', 'stopasianhate stopaapihate', 'stopasianhatecrimes', 'stopaapihate https', 'stopaapihate https co', 'stopasianhate stopasianhatecrimes', 'stopaapihate stopasianhate', 'stopasianhatecrimes https co', 'stopasianhatecrimes https', 'stopasianhate stopaapihate https', 'stopasianhatecrimes stopaapihate', 'stopasianhate stopasianhatecrimes stopaapihate']","['stopasianhate https://t.co/bzts4vdw1d', 'stopaapihate stopasianhate https://t.co/ie08anuitf', 'stopaapihate stopasianhate https://t.co/ksukyk0etz']"
70,176,70_shirt_starbucks_shirts_blm shirt,"['shirt', 'starbucks', 'shirts', 'blm shirt', 'employees', 'wear', 'boycottstarbucks', 'wearing', 'blm', 'blm shirts', 'apparel', 'available', 'wear blm', 'from wearing', 'boycott']","['starbucks bans employees from wearing anything in support of black lives matter https://t.co/jdvlffxycp', 'shirt with a purpose 🖤 blm t-shirt.\nsize l.\ncheck out my previous video on how i made this shirt. 👍🏽😘\neverything i… https://t.co/ifqyqrall2', '@starbucks i won’t buy another frap, tazo, or lemon loaf until you let your employees wear blacklivesmatter\xa0 parap… https://t.co/p2thsm2usj']"
71,166,71_memorial_floyd memorial_george floyd memorial_memorial fund,"['memorial', 'floyd memorial', 'george floyd memorial', 'memorial fund', 'floyd memorial fund', 'official george floyd', 'official george', 'memorial fund https', 'fund https', 'fund https co', 'fund', 'official', 'floyd', 'george floyd', 'george']","['official george floyd memorial fund https://t.co/t3d8czt9bp', 'official george floyd memorial fund https://t.co/xkkjxkpo9t', 'official george floyd memorial fund https://t.co/nma6ebmxkh']"
72,165,72_she_her_nazi_the holocaust,"['she', 'her', 'nazi', 'the holocaust', 'holocaust', 'she was', 'nazis', 'her nazi', 'the nazi', 'she is', 'was', 'that', 'did she', 'the nazis', 'she nazi']","['@global_occupant liz cheney upheld her constitution allows now she has a nazi scumbag wingnut flying to wyoming to… https://t.co/u4m5dlpm3k', '@global_occupant liz cheney upheld her constitutional duty now she has a nazi scumbag wingnut flying out to wyoming… https://t.co/shedxq7nut', '@kingmiles79nhl @bossip @noorbinladin she loved osama. what if she would have endorsed biden. and hitlers family do… https://t.co/h4jvbsfelp']"
73,164,73_hollywood_protest_west hollywood_in hollywood,"['hollywood', 'protest', 'west hollywood', 'in hollywood', 'west', 'peaceful', 'protest in', 'hollywood protest', 'protest in hollywood', 'blm protest', 'peaceful protest', 'hollywood california', 'in west hollywood', 'in west', 'west hollywood california']","['protest in hollywood georgefloyd blacklivesmatter protest hollywood icantbreathe america @ hollywood https://t.co/fp1uwzjtpz', 'peaceful protest in west hollywood, ca. 2:15pm pt. \nblacklivesmatter @ west hollywood, california https://t.co/8hba0x0b0n', 'peaceful protest in west hollywood... blacklivesmatter weareallinthistogether @ west hollywood, california https://t.co/4bnq3nc3xs']"
74,159,74_california_california https_california https co_angeles california https,"['california', 'california https', 'california https co', 'angeles california https', 'angeles california', 'los angeles california', 'los angeles', 'angeles', 'los', 'blm los', 'blm los angeles', 'blm', 'georgefloyd los angeles', 'georgefloyd los', 'georgefloyd']","['blm @ los angeles, california https://t.co/aofrjk6hpi', 'blm @ los angeles, california https://t.co/frxwxjmuar', 'blm @ los angeles, california https://t.co/gcgc1kcalp']"
75,159,75_breonnataylor breonnataylor_breonnataylor breonnataylor breonnataylor_breonnataylor_breonnataylor breonnataylor we,"['breonnataylor breonnataylor', 'breonnataylor breonnataylor breonnataylor', 'breonnataylor', 'breonnataylor breonnataylor we', 'for breonnataylor breonnataylor', 'about breonnataylor', 'breonnataylor we', 'remember breonnataylor breonnataylor', 'forgotten breonnataylor breonnataylor', 'breonnataylor nojustice nopeace', 'breonnataylor breonnataylor nojustice', 'about breonnataylor breonnataylor', 'forgotten breonnataylor', 'what about breonnataylor', 'breonnataylor nojustice']","['breonnataylor', 'breonnataylor', 'breonnataylor']"
76,159,76_los_los angeles_angeles_protest,"['los', 'los angeles', 'angeles', 'protest', 'santa', 'downtown los angeles', 'downtown los', 'downtown', 'peaceful', 'los angeles protest', 'angeles protest', 'in los', 'peaceful protest', 'in los angeles', 'santa monica']","['6.5.20 - downtown los angeles, the people’s protest\nblm protest losangeles unitymovement endpolicebrutality https://t.co/sjsjhwroiy', '6.5.20 - downtown los angeles, the people’s protest\nblm protest losangeles unitymovement endpolicebrutality… https://t.co/fniticvajn', 'los angeles protest. blm @ los angeles, california https://t.co/s06vgbskh6']"
77,157,77_her name_say her_say her name_her,"['her name', 'say her', 'say her name', 'her', 'name', 'say', 'name breonnataylor', 'her name breonnataylor', 'breonnataylor', 'breonnataylor say her', 'breonnataylor say', 'she', 'name breonnataylor say', 'name say her', 'her name say']","['say her name ‼️', 'say her name', 'say her name']"
78,156,78_terrorist_terrorists_terrorist organization_blm is terrorist,"['terrorist', 'terrorists', 'terrorist organization', 'blm is terrorist', 'is terrorist', 'antifa', 'blm is', 'organization', 'blm terrorists', 'domestic', 'blm', 'terrorist group', 'is terrorist organization', 'group', 'blm are']","['tearing down america is the agenda of a terrorist organization! \nblm is a terrorist organization!', 'but blm is a terrorist organization. 🙄', '@realdonaldtrump blm is a terrorist organization']"
79,156,79_jews_jewish_holocaust_the holocaust,"['jews', 'jewish', 'holocaust', 'the holocaust', 'the jews', 'hitler', 'million', 'million jews', 'jewish people', 'the jewish', 'the', 'in the holocaust', 'jews were', 'were', 'of jews']","[""i'm proud to say this makes me sound old: \n\nsix million jews were murdered in the holocaust you little shits! open… https://t.co/yqwsfbidth"", '@eve_barlow as elie wiesel once noted: “the holocaust was a war against the jews in which not all victims were jews… https://t.co/w5ti1vwjg2', 'jews for hitler']"
80,155,80_los angeles_angeles_california_california https,"['los angeles', 'angeles', 'california', 'california https', 'california https co', 'los', 'los angeles california', 'angeles california', 'angeles california https', 'justiceforgeorgefloyd', 'blacklivesmatter justiceforgeorgefloyd', 'justice', 'justiceforgeorgefloyd los', 'justiceforgeorgefloyd los angeles', 'peace']","['georgefloyd justiceforgeorgefloyd @ los angeles, california https://t.co/elmcntrkpz', 'blacklivesmatter justiceforgeorgefloyd @ los angeles, california https://t.co/biy5pwpdak', 'georgefloyd justiceforgeorgefloyd @ los angeles, california https://t.co/cs3m0kebul']"
81,148,81_america_america https_america https co_united,"['america', 'america https', 'america https co', 'united', 'of america https', 'of america', 'united states', 'united state of', 'state of america', 'united state', 'blacklivesmatter', 'states', 'american', 'state of', 'state']","['🙌🏼 blacklivesmatter @ the united states of america https://t.co/kw979ngndw', 'theshowmustbepaused \nblacklivesmatter @ united state of america https://t.co/b7hnwpj6nr', 'blacklivesmatter @ united state of america https://t.co/mprluetzix']"
82,145,82_georgefloyd https_georgefloyd https co_georgefloyd_https co,"['georgefloyd https', 'georgefloyd https co', 'georgefloyd', 'https co', 'https', 'co', 'icantbreathe georgefloyd https', 'name georgefloyd but', 'ur_ninja', 'are rising', 'rising up not', 'watching ur_ninja amp', 'watching ur_ninja', 'ur_ninja amp', 'up not only']","['georgefloyd https://t.co/nbyjzdv7em', 'icantbreathe georgefloyd https://t.co/o9dgvg8mqo', 'icantbreathe georgefloyd https://t.co/2ncutmq9up']"
83,144,83_arbery_ahmaud_ahmaud arbery_arbery was,"['arbery', 'ahmaud', 'ahmaud arbery', 'arbery was', 'ahmaud arbery was', 'of ahmaud', 'of ahmaud arbery', 'murder', 'jogging', 'georgia', 'was', 'in georgia', 'ahmaud arbery https', 'arbery https', 'arbery https co']","['the killing of ahmaud arbery https://t.co/aobytyynwv', 'i saw a black man post about the murder of ahmaud arbery and said, “i hate it here! i am ahmaud arbery!” \n\nmy heart… https://t.co/damhntcdyg', 'i saw a black man post about the murder of ahmaud arbery and he said, “i hate it here! i am ahmaud arbery!” \n\nmy he… https://t.co/sskbxlouo6']"
84,143,84_chocolate_negro_tacos_chicken,"['chocolate', 'negro', 'tacos', 'chicken', 'con', 'pizza', 'sandwich', 'chocolate negro', 'oriental', 'negro con', 'novo', 'brewing', 'novo brazil brewing', 'novo brazil', 'brazil brewing']","['drinking a coconut corvo negro by novo brazil brewing @ novo brazil brewing — https://t.co/l7ysefxlvf', 'chocolate negro con frambuesas ❤\nchocolate negro con naranja\ncerezas con chocolate negro\nalmendras con chocolate… https://t.co/afxkmujupt', 'drinking a chocolate brownie corvo negro by novo brazil brewing @ novo brazil brewing — https://t.co/enf77o8let']"
85,142,85_birthday_happy birthday_happy_birthday breonna,"['birthday', 'happy birthday', 'happy', 'birthday breonna', 'happy birthday breonna', 'sayhername', 'happy birthday breonnataylor', 'birthday breonnataylor', 'birthdayforbreonna', 'birthday breonna taylor', 'breonnataylor', 'sayhername https', 'sayhername https co', 'breonna', 'breonnataylor happy']","['happy birthday breonna taylor ❤️', 'happy birthday breonna taylor !! 🌸✨', '🤍🕊🤍\nhappy birthday breonna taylor \n🤍🕊🤍']"
86,142,86_georgefloyd_blacklivesmatter georgefloyd_georgefloyd https_georgefloyd https co,"['georgefloyd', 'blacklivesmatter georgefloyd', 'georgefloyd https', 'georgefloyd https co', 'georgefloyd blacklivesmatter', 'blacklivesmatter georgefloyd https', 'blacklivesmatter', 'georgefloyd blacklivesmatter https', 'blacklivesmatter https co', 'blacklivesmatter https', 'georgefloyd breonnataylor', 'georgefloydprotests', 'georgefloydprotest', 'georgefloyd icantbreathe', 'icantbreathe']","['dtla 🏙 losangeles lacityhall 🏛 blacklivesmatter\xa0\xa0 georgefloydprotest georgefloyd icantbreathe lapd… https://t.co/kv6exu49nz', 'dtla 🏙 losangeles lacityhall 🏛 blacklivesmatter\xa0\xa0 georgefloydprotest georgefloyd icantbreathe lapd… https://t.co/xhohbib1wp', 'dtla 🏙 losangeles lacityhall 🏛 blacklivesmatter\xa0 georgefloydprotest georgefloyd icantbreathe lapd… https://t.co/monhwkat5s']"
87,141,87_nazi_nazi officers_rso_joebiden,"['nazi', 'nazi officers', 'rso', 'joebiden', 'aoc', 'nazi cops', 'gavinnewsom', 'vp', 'cops', 'moms', 'officers', 'kamalaharris', 'kids', 'rape', 'naya']","['@thatericalper nazi cops raided home; 2 guitars, drum &amp; iphone stolen! @joebiden i need home/tools/kids to work! pds rob w/ rapists to jail!', '@thatericalper nazi cops raided home; 2 guitars, drum &amp; iphone stolen! @joebiden i need home/tools/kids to work! pds send rapists to rob! 👰🏻', '@kamalaharris @joebiden @gavinnewsom @twitter @rso @ahouse_la @aoc @summerstephan  moms say no to rapists @lori_viviano &amp; nazi thugs! naya']"
88,139,88_blm blm_blm blm blm_blm_chino hills,"['blm blm', 'blm blm blm', 'blm', 'chino hills', 'hills stands with', 'hills stands', 'stands with you', 'chino hills stands', 'chino', 'stands with', 'you blacklivesmatter https', 'with you blacklivesmatter', 'hills', 'stands', 'you blacklivesmatter']","['chino hills stands with you blacklivesmatter ✊✊🏻✊🏼✊🏽✊🏾✊🏿 https://t.co/vcb1f7mtoy', 'chino hills stands with you blacklivesmatter ✊✊🏻✊🏼✊🏽✊🏾✊🏿 https://t.co/4ycrxgr0ul', 'chino hills stands with you blacklivesmatter ✊✊🏻✊🏼✊🏽✊🏾✊🏿 https://t.co/m9j9syhf43']"
89,137,89_fu_tihl_fu king_forfeit,"['fu', 'tihl', 'fu king', 'forfeit', 'faggot', 'king', 'tihl fu', 'tihl fu king', 'forfeit faggot', 'faggots', 'forfeit faggots', 'stihl', 'paadr', 'feit', 'redeem']","['....""©™℅$tihl fu¢king simple ¢rippleki.d.$ ,forfeit faggot pelosi¢o want you to masterbate to pelosi¢os gubnets pi¢… https://t.co/6jwq4f98fc', '....""©™℅all trumpy¢os alleg{€d}`gubnet arrests are $tihl fu¢king out of ©my view\n\n,all the gubnet forfeit faggots a… https://t.co/o5kkwauhnb', '....""©™℅all trumpy¢os alleg{€d}`gubnet arrests are $tihl fu¢king out of ©my view\n\n,all the gubnet forfeit faggots a… https://t.co/9lz65y4rvr']"
90,135,90_say his_say his name_his name_name,"['say his', 'say his name', 'his name', 'name', 'say', 'his', 'to say his', 'his name three', 'times', 'name three', 'name three times', 'name say his', 'three times', 'name say', 'his name say']","['say his name', 'say his name', 'say his name !!!!!']"
91,134,91_white_nazis_nazi_racist,"['white', 'nazis', 'nazi', 'racist', 'neo', 'white supremacists', 'supremacists', 'white supremacist', 'supremacist', 'nazis and', 'neo nazi', 'neo nazis', 'and white', 'blah', 'nazis and white']","['@realdonaldtrump what about nazis and white supremest?! 😡', '@boochadley nazi nazi nazi racist racist racist russia russia russia white supremacist white supremacist white supr… https://t.co/ynpb1un7ly', ""@happyja @bozotheclone @downeymagpie @cbsnews i'm calling nazis and white supremacists nazis and white supremacists… https://t.co/nsez7fu12l""]"
92,133,92_no peace_justice no_no justice_justice no peace,"['no peace', 'justice no', 'no justice', 'justice no peace', 'no justice no', 'peace', 'no', 'no peace blacklivesmatter', 'justice', 'peace blacklivesmatter', 'peace blacklivesmatter https', 'peace blm', 'no peace blm', 'blacklivesmatter no justice', 'blacklivesmatter']","['no justice, no peace blacklivesmatter', 'no justice no peace! blacklivesmatter', 'no justice, no peace. blacklivesmatter']"
93,133,93_sayhername_justice for breonnataylor_justiceforbreonnataylor_for breonnataylor,"['sayhername', 'justice for breonnataylor', 'justiceforbreonnataylor', 'for breonnataylor', 'breonnataylor', 'sayhername justiceforbreonnataylor', 'justice', 'justice for', 'justiceforbreonnataylor sayhername', 'breonnataylor sayhername', 'breonnataylor justiceforbreonnataylor', 'crenshaw', 'breonnataylor sayhername justiceforbreonnataylor', 'justiceforbreonnataylor https co', 'justiceforbreonnataylor https']","['justice for breonnataylor ⚖️', 'justice for breonnataylor 🙏🏽', 'justice for breonnataylor !!!!!!!']"
94,130,94_breonna_breonna taylor_taylor_taylor breonna taylor,"['breonna', 'breonna taylor', 'taylor', 'taylor breonna taylor', 'breonna taylor breonna', 'taylor breonna', 'sayhername', 'breonna taylor https', 'taylor https', 'taylor https co', 'her name breonna', 'taylor say her', 'name breonna', 'breonna taylor sayhername', 'taylor sayhername']","['breonna taylor 🙏🏾', 'breonna taylor 😢', 'breonna taylor 🙏🏾🤎✨']"
95,125,95_beach_long beach_beach california https_beach california,"['beach', 'long beach', 'beach california https', 'beach california', 'long', 'long beach california', 'california', 'beach https co', 'beach https', 'california https', 'california https co', 'blacklivesmatter long beach', 'blacklivesmatter long', 'huntington beach', 'huntington']","['blacklivesmatter @ long beach, california https://t.co/gs4lsh63nj', 'blacklivesmatter @ long beach, california https://t.co/ncmsgwew5m', 'blacklivesmatter @ long beach, california https://t.co/zus417vc9a']"
96,123,96_stopasianhate stopasianhate_stopasianhate stopasianhate stopasianhate_stopasianhate_stopasianhate stopasianhate this,"['stopasianhate stopasianhate', 'stopasianhate stopasianhate stopasianhate', 'stopasianhate', 'stopasianhate stopasianhate this', 'stopasianhate this', 'this this', 'stopasianhate also stopasianhate', 'tolerance stopasianhate stopasianhate', 'unitethepride stopasianhate', 'unitethepride', 'protectasianlives stopasianhate stopasianhate', 'protectasianlives stopasianhate', 'stopasianhate stopasianhate im', 'stopasianhate stopasianhate enough', 'stopasianhate stopasianhate but']","['stopasianhate', 'stopasianhate', 'stopasianhate']"
97,123,97_satan_jesus_bible_satanic,"['satan', 'jesus', 'bible', 'satanic', 'hitler', 'christian', 'christians', 'illuminati', 'evil', 'perverted', 'god', 'church', 'christianity', 'the bible', 'catholics']","['the problem with being a visionary is at times you become a victim and slave of your own vision. it can become even… https://t.co/ulhvd7rjrm', 'the fear of the lord is hatred of evil. pride and arrogance and the way of evil and perverted speech i hate.  - pro… https://t.co/sx2yzr02ff', 'proverbs 8:13 esv\n\nthe fear of the lord is hatred of evil. pride and arrogance and the way of evil and perverted speech i hate.']"
98,121,98_downtown_downtown los_downtown los angeles_los angeles,"['downtown', 'downtown los', 'downtown los angeles', 'los angeles', 'angeles', 'los', 'city hall', 'hall', 'angeles city hall', 'los angeles city', 'angeles city', 'city', 'city hall https', 'hall https co', 'hall https']","['cityhall losangeles georgefloyd @ los angeles city hall https://t.co/ifort6v0oi', 'downtown los angeles. 6.20\nblacklivesmatter @ downtown los angeles https://t.co/yoo7pakinx', 'blacklivesmatter downtown los angeles city hall. @polaroid amplifyblackvoices @ city hall los angeles, ca https://t.co/dzs1g0k0cd']"
99,119,99_virus_china_china virus_trump,"['virus', 'china', 'china virus', 'trump', 'the china virus', 'the china', 'the chinese', 'chinese', 'chinese virus', 'the chinese virus', 'president', 'chinavirus', 'virus and', 'chinesevirus', 'tds']","['@dloesch please. chinavirus is *completely* political—without tds &amp; the trump2020 election, it would be nothing m… https://t.co/a6qlfnhel4', '@dloesch please. chinavirus is *completely* political—without tds &amp; the trump2020 election, it would be nothing m… https://t.co/cn0uewauns', ""donald trump's approval rating on handling the china virus pandemic hits 55%.  meanwhile, 45% of americans still suffer from severe tds.""]"
100,119,100_stalin_putin_hitler_russia,"['stalin', 'putin', 'hitler', 'russia', 'russian', 'and stalin', 'hitler and stalin', 'and hitler', 'hitler and', 'mussolini', 'stalin and', 'took the guns', 'stalin and hitler', 'the guns', 'took']","['@kbandersen @markharrisnyc worse than that. hitler &amp; stalin evolved from countries immersed in chaos &amp; instability.… https://t.co/ykuzsjbyol', ""worse than that. hitler &amp; stalin evolved from countries immersed in chaos &amp; instability. trump's evil evolved from… https://t.co/mgb0jtewbv"", '@donaldjtrumpjr @joebiden this is what stalin and hitler did. when hitler took over poland and germany the first th… https://t.co/uzmm4w7xem']"
101,119,101_blm blm_blm_paki_blm breonnataylor,"['blm blm', 'blm', 'paki', 'blm breonnataylor', 'want is amp', 'nothing changes', 'gorillaz blm thank', 'gorillaz blm', 'is amp amp', 'blm gorillaz blm', 'blm gorillaz', 'amp amp chink', 'blm nothing', 'amp chink', 'my bday']","['all i want is a f&amp;n &amp; chink for my bday 😩😩', 'all i want is a f&amp;n &amp; chink back forever to end my bday 😩😩', '@bigjimrockfam epi that’s it, pa gen 2!\nneg sa monte sou beat tankou se lè swat ap “raid” houses ! 🙌🏻💯🔥']"
102,118,102_reparations_reparations for black_reparations for_black,"['reparations', 'reparations for black', 'reparations for', 'black', 'for black', 'reparations to', 'black people', 'americans', 'black americans', 'people', 'for black people', 'reparations to black', 'for black americans', 'pay reparations to', 'to pay reparations']","[""@asheborn57 it the retail stores exit nyc, there won't be places to loot so to pay reparations to the african americans from 300 years ago."", ""@cernovich if the retail stores exit nyc, there won't be places to loot so to pay reparations to the african americans from 300 years ago."", ""@asheborn57 if the retail stores exit nyc, there won't be places to loot so to pay reparations to the african americans from 300 years ago.""]"
103,116,103_demand that the_demand that_floyd be arrested_to demand that,"['demand that the', 'demand that', 'floyd be arrested', 'to demand that', 'in murdered', 'involved in murdered', 'in murdered george', 'petition to demand', 'be arrested and', 'george floyd be', 'floyd be', 'that the police', 'police officers involved', 'arrested and cha', 'and cha']","['i just signed a petition to demand that the 4 police officers involved in murdered george floyd be arrested and cha… https://t.co/38dlr3jfmw', 'i just signed a petition to demand that the 4 police officers involved in murdered george floyd be arrested and cha… https://t.co/hcooe2cdh5', 'i just signed a petition to demand that the 4 police officers involved in murdered george floyd be arrested and cha… https://t.co/aodzr3kxkl']"
104,115,104_femboy_sissy_crossdresser_tranny,"['femboy', 'sissy', 'crossdresser', 'tranny', 'sissyboy', 'femboys', 'cd', 'tgirls', 'qos', 'sissyboy femboy', 'twink', 'sissyclit', 'sissy femboy', 'bbcslut', 'sissyforbbc']","['home waiting for your cock daddy  sissy bottomsissy sissyfaggot sissyboy femboy cd crossdresser… https://t.co/pjo9twltyn', 'home waiting for your cock daddy  sissy bottomsissy sissyfaggot sissyboy femboy cd crossdresser… https://t.co/g0tsyfurj6', 'home waiting for your cock daddy  sissy bottomsissy sissyfaggot sissyboy femboy cd crossdresser… https://t.co/svakt6z48l']"
105,115,105_police_no_racist_racist police,"['police', 'no', 'racist', 'racist police', 'peace no racist', 'no racist', 'no peace no', 'peace no', 'no racist police', 'no justice no', 'cops', 'justice no', 'no justice', 'justice no peace', 'police brutality']","['no justice, no peace! no racist police ✊🏾 blacklivesmatter https://t.co/igyj79zs1p', 'no justice! no peace! no racist police!!!!!!! \nblacklivesmatter', 'no justice, no peace \nno racist police !!!!\n\nblacklivesmatter']"
106,113,106_quote_we_blacklivesmatter quote_negro,"['quote', 'we', 'blacklivesmatter quote', 'negro', 'blacklivesmatter', 'martin luther', 'martin luther king', 'luther', 'luther king', 'nonviolent with', 'are nonviolent with', 'are nonviolent', 'nonviolent', 'martin', 'the words of']","['dr. king said, “in the end, we will remember not the words of our enemies, but the silence of our friends.” stopasianhate', '""in the end, we will remember not the words of our enemies, but the silence of our friends."" -martin luther king, jr.\n\nblacklivesmatter', '“in the end, we will remember not the words of our enemies, but the silence of our friends.” -mlk blacklivesmatter https://t.co/qzwesom5ai']"
107,112,107_slaves_slave_lincoln_slave owners,"['slaves', 'slave', 'lincoln', 'slave owners', 'democrats', 'electoral', 'owners', 'electoral college', 'freed', 'the electoral', 'the slaves', 'the slave', 'the electoral college', 'college', 'democrats were']","['the electoral college was literally created to empower slave owners', '@whatconstituti1 @johnfugelsang the electoral college was intended to protect slave states and slave owners by givi… https://t.co/0q3ytdoqxd', '@teriduchac @walshfreedom the electoral college was a compromise intended to protect slave states and slave owners… https://t.co/yjv4chovhw']"
108,112,108_coronavirus_corona_the coronavirus_covid19,"['coronavirus', 'corona', 'the coronavirus', 'covid19', 'coronavirus covid19', 'coronavirus https', 'coronavirus https co', 'corona virus', 'racismisavirus', 'covid_19', 'spike', 'trumpvirus', 'tinhornflats tinhornflatsburbank covid_19', 'tinhornflatsburbank covid_19 coronavirus', 'tinhornflatsburbank covid_19']","['tinhornflats tinhornflatsburbank covid_19 coronavirus covid19 burbank antisemitism holocaust annefrank… https://t.co/4wjqcgodqd', 'tinhornflats tinhornflatsburbank covid_19 coronavirus covid19 burbank antifa blm blacklivesmatter racism… https://t.co/cyilxbmydv', 'tinhornflats tinhornflatsburbank covid_19 coronavirus covid19 holocaust https://t.co/bn894p0mxp']"
109,111,109_companies_money_blm_business,"['companies', 'money', 'blm', 'business', 'corporations', 'to blm', 'company', 'these', 'the blm', 'these companies', 'from', 'their', 'they', 'blm movement', 'are']","['all these companies are fraudulent and are using the blm movement just so they can seem like they support us and they really don’t.', 'brands/companies are using blm to capitalize on us. they’re using it to gain exposure. dont be fooled... some could care less. capitalize', 'brands/companies are using blm to capitalize on us. they’re using it to gain exposure. dont be fooled... some could care less.']"
110,109,110_gatekeeping_gatekeeping is_the gatekeeping_stop gatekeeping,"['gatekeeping', 'gatekeeping is', 'the gatekeeping', 'stop gatekeeping', 'of gatekeeping', 'you gatekeeping', 'and gatekeeping', 'lol', 'people gatekeeping', 'is gatekeeping', 'gatekeeping and', 'is', 'gatekeeping mixed', 'gatekeeping mixed people', 'mixed people']","['stop gatekeeping mixed people’s identities stop gatekeeping mixed people’s identities stop gatekeeping mixed people… https://t.co/ytht62ufte', 'honestly, im gonna start gatekeeping gatekeeping', 'gatekeeping the word gatekeeping']"
111,106,111_blm_mhdksafa blm_mhdksafa_mlb,"['blm', 'mhdksafa blm', 'mhdksafa', 'mlb', 'blm mhdksafa blm', 'to use blm', 'teaboots', 'blm tmz', 'mhdksafa blm mhdksafa', 'blm mhdksafa', 'blm ktla', 'blm anybody', 'ask blm', 'fucc blm', 'defund blm']","['@dangelno but lowkey this is every influencer trying to use blm and make it about them influencerlivesmatter', '@gripp_1 cool. i have a 1000 as well. but i usually only use it for sampling and the pads. i slave it to abelton.', 'these blm in the profile but silent types really grinded my gears\n\ni been hearing u btw \nlmk how i can help \n\n🏃🏾💨… https://t.co/s3geky3hck']"
