head,tail,relation,weight
"(1240319085126115328, 't')",2020-03-18,tweeted_on,
"(1240319611460915200, 't')",2020-03-18,tweeted_on,
"(1240320736264196096, 't')",2020-03-18,tweeted_on,
"(1240322652369117184, 't')",2020-03-18,tweeted_on,
"(1240323169690349568, 't')",2020-03-18,tweeted_on,
"(1240325050265300992, 't')",2020-03-18,tweeted_on,
"(1240327746871382016, 't')",2020-03-18,tweeted_on,
"(1240338114431705088, 't')",2020-03-18,tweeted_on,
"(1240339418877005824, 't')",2020-03-18,tweeted_on,
"(1240340950884454400, 't')",2020-03-18,tweeted_on,
"(1240341089749516288, 't')",2020-03-18,tweeted_on,
"(1240346403257249792, 't')",2020-03-18,tweeted_on,
"(1240346652335984640, 't')",2020-03-18,tweeted_on,
"(1240346716164878336, 't')",2020-03-18,tweeted_on,
