head,tail,relation,weight
"(1240874618128183296, 't')",2020-03-20,tweeted_on,
"(1240877530623528960, 't')",2020-03-20,tweeted_on,
"(1240882192240111616, 't')",2020-03-20,tweeted_on,
"(1240927619429752832, 't')",2020-03-20,tweeted_on,
"(1241025049571676160, 't')",2020-03-20,tweeted_on,
"(1241059939537346560, 't')",2020-03-20,tweeted_on,
"(1241088834873376768, 't')",2020-03-20,tweeted_on,
"(1241121961003995136, 't')",2020-03-20,tweeted_on,
"(1241192779532759040, 't')",2020-03-21,tweeted_on,
"(1241222877547859968, 't')",2020-03-21,tweeted_on,
"(1241235264443301888, 't')",2020-03-21,tweeted_on,
"(1241238511035924480, 't')",2020-03-21,tweeted_on,
"(1241238558062469120, 't')",2020-03-21,tweeted_on,
"(1241347493423509504, 't')",2020-03-21,tweeted_on,
"(1241411378960896000, 't')",2020-03-21,tweeted_on,
"(1241428810605539328, 't')",2020-03-21,tweeted_on,
"(1241430808260313088, 't')",2020-03-21,tweeted_on,
"(1241439559054835712, 't')",2020-03-21,tweeted_on,
"(1241446414082699264, 't')",2020-03-21,tweeted_on,
"(1241510251695730688, 't')",2020-03-21,tweeted_on,
"(1241603192472788992, 't')",2020-03-22,tweeted_on,
"(1241738025266118912, 't')",2020-03-22,tweeted_on,
"(1241802106807279616, 't')",2020-03-22,tweeted_on,
"(1241829481691504640, 't')",2020-03-22,tweeted_on,
"(1241884971444228096, 't')",2020-03-23,tweeted_on,
"(1241887329213501440, 't')",2020-03-23,tweeted_on,
"(1241922558003314688, 't')",2020-03-23,tweeted_on,
"(1241957736583065600, 't')",2020-03-23,tweeted_on,
"(1241989391179894784, 't')",2020-03-23,tweeted_on,
"(1242031058209484800, 't')",2020-03-23,tweeted_on,
"(1242107131291037696, 't')",2020-03-23,tweeted_on,
"(1242150010382209024, 't')",2020-03-23,tweeted_on,
"(1242195310840958976, 't')",2020-03-23,tweeted_on,
"(1242203163920224512, 't')",2020-03-23,tweeted_on,
"(1242229624668475392, 't')",2020-03-23,tweeted_on,
"(1242302140334231552, 't')",2020-03-24,tweeted_on,
"(1242320525818351616, 't')",2020-03-24,tweeted_on,
"(1242421110919925760, 't')",2020-03-24,tweeted_on,
"(1242490194407772160, 't')",2020-03-24,tweeted_on,
"(1242510812188569600, 't')",2020-03-24,tweeted_on,
"(1242526181729038336, 't')",2020-03-24,tweeted_on,
"(1242527475231424512, 't')",2020-03-24,tweeted_on,
"(1242540312511148032, 't')",2020-03-24,tweeted_on,
"(1242554376364765184, 't')",2020-03-24,tweeted_on,
"(1242571237991145472, 't')",2020-03-24,tweeted_on,
"(1242588483245359104, 't')",2020-03-24,tweeted_on,
"(1242597455343976448, 't')",2020-03-24,tweeted_on,
"(1242654240494903296, 't')",2020-03-25,tweeted_on,
"(1242655116383027200, 't')",2020-03-25,tweeted_on,
"(1242834920810168320, 't')",2020-03-25,tweeted_on,
"(1242845958838218752, 't')",2020-03-25,tweeted_on,
"(1242847227262820352, 't')",2020-03-25,tweeted_on,
"(1242855469737099264, 't')",2020-03-25,tweeted_on,
"(1242961328056066048, 't')",2020-03-25,tweeted_on,
